date,percentage_1p,max(trip)_1p,min(trip)_1p,percentage_2p,max(trip)_2p,min(trip)_2p,percentage_3p,max(trip)_3p,min(trip)_3p,percentage_4p_plus,max(trip)_4p_plus,min(trip)_4p_plus
2003-01-01,100,0.00,0.00,0,0,0,0,0,0,0,0,0
2008-12-31,40,20.30,7.30,0,0,0,0,0,0,0,0,0
2009-01-01,78.9,74.80,3.30,5.3,31.30,31.30,5.3,13.80,13.80,10.5,61.42,9.30
2019-12-18,50,2.81,2.81,0,0,0,0,0,0,50,6.30,6.30
2019-12-31,30.2,62.80,-62.80,7.8,22.30,-6.80,2.3,28.93,10.56,10.9,27.30,9.30
2020-01-01,63.1,465.30,-207.30,19.3,281.42,-73.92,5.7,383.30,-103.30,9.7,350.42,-79.80
2020-01-02,68.3,400.80,-108.30,15.9,328.04,-135.30,4.7,215.54,-68.30,8.6,352.30,-61.42
2020-01-03,68.2,358.92,-123.80,16.1,370.30,-70.30,4.5,409.59,-33.30,8.3,348.30,-61.42
2020-01-04,64.8,965.80,-180.30,18.1,481.30,-61.42,5.1,313.30,-62.42,9,577.80,-55.30
2020-01-05,67.2,596.42,-90.30,17.2,375.30,-102.42,4.7,333.34,-55.30,8.4,264.36,-65.30
2020-01-06,73.4,1040.39,-500.30,13.4,276.36,-65.92,3.7,200.30,-45.42,7.1,185.90,-168.30
2020-01-07,73.6,410.67,-142.92,13.6,375.30,-70.80,3.4,343.30,-61.42,7,242.80,-57.30
2020-01-08,73.6,914.55,-74.80,13.4,282.36,-61.42,3.5,350.80,-61.42,7,253.67,-61.42
2020-01-09,73.6,620.30,-241.30,13.4,231.65,-112.80,3.4,230.30,-65.92,6.9,404.30,-12.30
2020-01-10,71.2,362.30,-200.80,14.6,245.05,-65.92,3.9,187.55,-59.80,7.3,284.76,-75.30
2020-01-11,66.5,416.15,-300.30,17.7,228.02,-73.80,4.6,250.30,-71.30,8.1,424.29,-77.80
2020-01-12,68.4,450.30,-252.80,16.9,431.60,-61.42,4.5,331.42,-24.80,7.8,658.35,-55.30
2020-01-13,74.3,534.12,-78.30,12.9,475.17,-65.30,3.5,311.30,-59.80,6.8,312.46,-57.80
2020-01-14,74.1,340.01,-94.07,13.1,420.30,-65.92,3.4,300.30,-72.92,7,412.09,-120.80
2020-01-15,74,480.36,-400.30,13.2,408.95,-61.42,3.3,190.30,-61.42,6.9,179.16,-150.80
2020-01-16,73.5,434.30,-77.80,13.4,290.60,-89.30,3.4,207.95,-57.30,7,156.04,-61.42
2020-01-17,71.5,769.80,-88.80,14.5,360.96,-93.30,3.9,420.30,-39.30,7.2,351.29,-170.30
2020-01-18,66.3,499.80,-125.80,17.7,387.60,-177.80,4.6,435.54,-77.71,8.6,384.66,-130.80
2020-01-19,66.7,464.80,-303.30,17.5,407.80,-61.42,4.9,499.56,-84.55,8.4,222.36,-61.42
2020-01-20,70.5,480.30,-124.80,15.4,617.30,-61.42,4.2,409.89,-55.30,7.5,270.96,-58.92
2020-01-21,74,372.67,-200.30,13.1,495.30,-61.42,3.4,498.66,-169.80,7.1,730.30,-730.30
2020-01-22,74.2,1110.80,-76.80,13.1,294.96,-61.42,3.3,400.30,-59.50,6.9,264.20,-59.80
2020-01-23,73.5,553.14,-247.30,13.3,312.88,-81.35,3.4,400.30,-67.33,7.2,290.05,-61.42
2020-01-24,71.3,735.17,-90.30,14.5,308.47,-65.92,3.7,275.69,-115.92,7.3,367.30,-61.42
2020-01-25,66.2,468.22,-150.30,17.8,173.72,-61.42,4.7,480.36,-38.80,8.4,153.80,-55.30
2020-01-26,68.1,357.42,-333.30,17,345.34,-100.30,4.5,220.80,-59.42,8,217.86,-55.30
2020-01-27,74.1,412.26,-67.80,13,240.30,-59.80,3.5,318.29,-70.30,7,238.55,-65.92
2020-01-28,74.2,587.30,-158.30,13.1,298.12,-125.30,3.2,260.31,-65.30,7,294.80,-28.80
2020-01-29,74.4,600.36,-142.80,12.9,454.19,-61.42,3.2,245.30,-56.42,7,227.66,-61.42
2020-01-30,74,600.30,-250.30,13,243.49,-65.92,3.3,220.30,-66.42,7,411.82,-110.80
2020-01-31,72,906.35,-193.46,14.4,360.36,-141.60,3.7,135.36,-59.80,7.1,208.30,-61.42
2020-02-01,75,274.56,9.80,20.8,21.36,12.36,0,0,0,4.2,11.30,11.30
2020-02-02,0,0,0,50,9.80,9.80,50,9.30,9.30,0,0,0
2020-02-12,100,18.30,11.76,0,0,0,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0,100,28.80,28.80,0,0,0
2020-03-04,100,15.34,15.34,0,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,100,8.76,8.76,0,0,0
2020-03-25,50,11.30,11.30,0,0,0,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0,0,0,0,100,21.80,21.80
2020-04-16,100,10.56,10.56,0,0,0,0,0,0,0,0,0
2020-05-07,100,31.62,11.16,0,0,0,0,0,0,0,0,0
2020-05-28,50,18.96,18.96,0,0,0,0,0,0,0,0,0
2020-06-19,100,25.30,25.30,0,0,0,0,0,0,0,0,0
2020-07-10,100,20.16,9.36,0,0,0,0,0,0,0,0,0
2020-07-31,100,9.30,9.30,0,0,0,0,0,0,0,0,0
2021-01-02,100,17.16,14.80,0,0,0,0,0,0,0,0,0
