date,percentage_1p,max(trip),min(trip)
2003-01-01,100,0.00,0.00
2008-12-31,40,20.30,7.30
2009-01-01,78.9,74.80,3.30
2019-12-18,50,2.81,2.81
2019-12-31,30.2,62.80,-62.80
2020-01-01,63.1,465.30,-207.30
2020-01-02,68.3,400.80,-108.30
2020-01-03,68.2,358.92,-123.80
2020-01-04,64.8,965.80,-180.30
2020-01-05,67.2,596.42,-90.30
2020-01-06,73.4,1040.39,-500.30
2020-01-07,73.6,410.67,-142.92
2020-01-08,73.6,914.55,-74.80
2020-01-09,73.6,620.30,-241.30
2020-01-10,71.2,362.30,-200.80
2020-01-11,66.5,416.15,-300.30
2020-01-12,68.4,450.30,-252.80
2020-01-13,74.3,534.12,-78.30
2020-01-14,74.1,340.01,-94.07
2020-01-15,74,480.36,-400.30
2020-01-16,73.5,434.30,-77.80
2020-01-17,71.5,769.80,-88.80
2020-01-18,66.3,499.80,-125.80
2020-01-19,66.7,464.80,-303.30
2020-01-20,70.5,480.30,-124.80
2020-01-21,74,372.67,-200.30
2020-01-22,74.2,1110.80,-76.80
2020-01-23,73.5,553.14,-247.30
2020-01-24,71.3,735.17,-90.30
2020-01-25,66.2,468.22,-150.30
2020-01-26,68.1,357.42,-333.30
2020-01-27,74.1,412.26,-67.80
2020-01-28,74.2,587.30,-158.30
2020-01-29,74.4,600.36,-142.80
2020-01-30,74,600.30,-250.30
2020-01-31,72,906.35,-193.46
2020-02-01,75,274.56,9.80
2020-02-02,0,0,0
2020-02-12,100,18.30,11.76
2020-02-23,0,0,0
2020-03-04,100,15.34,15.34
2020-03-16,0,0,0
2020-03-25,50,11.30,11.30
2020-03-26,0,0,0
2020-04-16,100,10.56,10.56
2020-05-07,100,31.62,11.16
2020-05-28,50,18.96,18.96
2020-06-19,100,25.30,25.30
2020-07-10,100,20.16,9.36
2020-07-31,100,9.30,9.30
2021-01-02,100,17.16,14.80
